"","lat","lon","date","time"
"48",33.252453,-117.42229,"2011-08-17","21:38:58"
"49",33.252173,-117.42207,"2011-08-17","21:38:59"
"50",33.251895,-117.421842,"2011-08-17","21:39:00"
"51",33.251615,-117.42161,"2011-08-17","21:39:01"
"52",33.251333,-117.421375,"2011-08-17","21:39:02"
"53",33.251047,-117.421139,"2011-08-17","21:39:03"
"54",33.250761,-117.420912,"2011-08-17","21:39:04"
"55",33.250477,-117.420685,"2011-08-17","21:39:05"
"56",33.250191,-117.420462,"2011-08-17","21:39:06"
"57",33.249901,-117.420237,"2011-08-17","21:39:07"
"58",33.249615,-117.420009,"2011-08-17","21:39:08"
"59",33.249328,-117.41978,"2011-08-17","21:39:09"
"60",33.24904,-117.419546,"2011-08-17","21:39:10"
"61",33.248752,-117.419315,"2011-08-17","21:39:11"
"62",33.248459,-117.419087,"2011-08-17","21:39:12"
"63",33.248169,-117.418867,"2011-08-17","21:39:13"
"64",33.24788,-117.418651,"2011-08-17","21:39:14"
"65",33.247592,-117.41845,"2011-08-17","21:39:15"
"66",33.247294,-117.418269,"2011-08-17","21:39:16"
"67",33.246995,-117.418109,"2011-08-17","21:39:17"
"68",33.246693,-117.417966,"2011-08-17","21:39:18"
"69",33.246389,-117.417829,"2011-08-17","21:39:19"
"70",33.246077,-117.417697,"2011-08-17","21:39:20"
"71",33.245761,-117.417566,"2011-08-17","21:39:21"
"72",33.245449,-117.417418,"2011-08-17","21:39:22"
"73",33.245132,-117.417279,"2011-08-17","21:39:23"
"74",33.244808,-117.41714,"2011-08-17","21:39:24"
"75",33.244485,-117.416999,"2011-08-17","21:39:25"
"76",33.244166,-117.41685,"2011-08-17","21:39:26"
"77",33.243852,-117.41669,"2011-08-17","21:39:27"
"78",33.243529,-117.416526,"2011-08-17","21:39:28"
"79",33.243209,-117.416361,"2011-08-17","21:39:29"
"80",33.242899,-117.416179,"2011-08-17","21:39:30"
"81",33.242595,-117.415989,"2011-08-17","21:39:31"
"82",33.242305,-117.415777,"2011-08-17","21:39:32"
"83",33.242016,-117.415558,"2011-08-17","21:39:33"
"84",33.241733,-117.415324,"2011-08-17","21:39:34"
"85",33.241456,-117.415075,"2011-08-17","21:39:35"
"86",33.24119,-117.414811,"2011-08-17","21:39:36"
"87",33.240934,-117.414532,"2011-08-17","21:39:37"
"88",33.240694,-117.414241,"2011-08-17","21:39:38"
"89",33.24047,-117.413944,"2011-08-17","21:39:39"
"90",33.24026,-117.413632,"2011-08-17","21:39:40"
"91",33.240061,-117.413314,"2011-08-17","21:39:41"
"92",33.239877,-117.412996,"2011-08-17","21:39:42"
"93",33.239706,-117.412676,"2011-08-17","21:39:43"
"94",33.239536,-117.412369,"2011-08-17","21:39:44"
"95",33.239366,-117.412068,"2011-08-17","21:39:45"
"96",33.239205,-117.411772,"2011-08-17","21:39:46"
"97",33.239048,-117.411481,"2011-08-17","21:39:47"
"98",33.238895,-117.411193,"2011-08-17","21:39:48"
"99",33.238738,-117.410907,"2011-08-17","21:39:49"
"100",33.238577,-117.410624,"2011-08-17","21:39:50"
"101",33.238415,-117.410347,"2011-08-17","21:39:51"
"102",33.238248,-117.410068,"2011-08-17","21:39:52"
"103",33.238069,-117.409794,"2011-08-17","21:39:53"
"104",33.23788,-117.409511,"2011-08-17","21:39:54"
"105",33.237682,-117.409254,"2011-08-17","21:39:55"
"106",33.237469,-117.409015,"2011-08-17","21:39:56"
"107",33.237256,-117.408779,"2011-08-17","21:39:57"
"108",33.237039,-117.408539,"2011-08-17","21:39:58"
"109",33.236821,-117.408295,"2011-08-17","21:39:59"
"110",33.236605,-117.408064,"2011-08-17","21:40:00"
"111",33.23639,-117.407819,"2011-08-17","21:40:01"
"112",33.236173,-117.407581,"2011-08-17","21:40:02"
"113",33.235958,-117.407339,"2011-08-17","21:40:03"
"114",33.235746,-117.407095,"2011-08-17","21:40:04"
"115",33.235533,-117.406861,"2011-08-17","21:40:05"
"116",33.235324,-117.406621,"2011-08-17","21:40:06"
"117",33.235112,-117.40639,"2011-08-17","21:40:07"
"118",33.2349,-117.406156,"2011-08-17","21:40:08"
"119",33.23469,-117.405921,"2011-08-17","21:40:09"
"120",33.23448,-117.405684,"2011-08-17","21:40:10"
"121",33.234271,-117.405448,"2011-08-17","21:40:11"
"122",33.234057,-117.405208,"2011-08-17","21:40:12"
"123",33.233841,-117.404964,"2011-08-17","21:40:13"
"124",33.233626,-117.404711,"2011-08-17","21:40:14"
"125",33.233409,-117.404456,"2011-08-17","21:40:15"
"126",33.233186,-117.404199,"2011-08-17","21:40:16"
"127",33.232959,-117.403946,"2011-08-17","21:40:17"
"128",33.232729,-117.403692,"2011-08-17","21:40:18"
"129",33.232502,-117.403436,"2011-08-17","21:40:19"
"130",33.232274,-117.403177,"2011-08-17","21:40:20"
"131",33.232048,-117.402923,"2011-08-17","21:40:21"
"132",33.231823,-117.402674,"2011-08-17","21:40:22"
"133",33.23161,-117.402437,"2011-08-17","21:40:23"
"134",33.231404,-117.402215,"2011-08-17","21:40:24"
"135",33.231209,-117.401998,"2011-08-17","21:40:25"
"136",33.231015,-117.401783,"2011-08-17","21:40:26"
"137",33.230821,-117.401567,"2011-08-17","21:40:27"
"138",33.23062,-117.401351,"2011-08-17","21:40:28"
"139",33.230415,-117.401132,"2011-08-17","21:40:29"
"140",33.230216,-117.400904,"2011-08-17","21:40:30"
"141",33.230012,-117.400685,"2011-08-17","21:40:31"
"142",33.2298,-117.400473,"2011-08-17","21:40:32"
"143",33.229586,-117.400262,"2011-08-17","21:40:33"
"144",33.229378,-117.400045,"2011-08-17","21:40:34"
"145",33.229176,-117.399819,"2011-08-17","21:40:35"
"146",33.228975,-117.399594,"2011-08-17","21:40:36"
"147",33.228772,-117.399368,"2011-08-17","21:40:37"
"148",33.228567,-117.399141,"2011-08-17","21:40:38"
"149",33.228361,-117.398914,"2011-08-17","21:40:39"
"150",33.228152,-117.398685,"2011-08-17","21:40:40"
"151",33.227941,-117.398459,"2011-08-17","21:40:41"
"152",33.227733,-117.398231,"2011-08-17","21:40:42"
"153",33.227531,-117.397997,"2011-08-17","21:40:43"
"154",33.227323,-117.397764,"2011-08-17","21:40:44"
"155",33.227116,-117.397532,"2011-08-17","21:40:45"
"156",33.22691,-117.397298,"2011-08-17","21:40:46"
"157",33.226701,-117.397063,"2011-08-17","21:40:47"
"158",33.226488,-117.396831,"2011-08-17","21:40:48"
"159",33.226275,-117.396601,"2011-08-17","21:40:49"
"160",33.226064,-117.39636,"2011-08-17","21:40:50"
"161",33.225844,-117.396123,"2011-08-17","21:40:51"
"162",33.225627,-117.395881,"2011-08-17","21:40:52"
"163",33.225406,-117.395639,"2011-08-17","21:40:53"
"164",33.225187,-117.395396,"2011-08-17","21:40:54"
"165",33.224969,-117.395154,"2011-08-17","21:40:55"
"166",33.224746,-117.39492,"2011-08-17","21:40:56"
"167",33.224519,-117.394687,"2011-08-17","21:40:57"
"168",33.224295,-117.394452,"2011-08-17","21:40:58"
"169",33.224073,-117.394217,"2011-08-17","21:40:59"
"170",33.223855,-117.393972,"2011-08-17","21:41:00"
"171",33.223639,-117.393725,"2011-08-17","21:41:01"
"172",33.223418,-117.393492,"2011-08-17","21:41:02"
"173",33.223189,-117.393266,"2011-08-17","21:41:03"
"174",33.222948,-117.393056,"2011-08-17","21:41:04"
"175",33.222705,-117.392849,"2011-08-17","21:41:05"
"176",33.222458,-117.392653,"2011-08-17","21:41:06"
"177",33.222194,-117.392474,"2011-08-17","21:41:07"
"178",33.22191,-117.392314,"2011-08-17","21:41:08"
"179",33.221623,-117.392154,"2011-08-17","21:41:09"
"180",33.22132,-117.392015,"2011-08-17","21:41:10"
"181",33.221001,-117.391893,"2011-08-17","21:41:11"
"182",33.220682,-117.391782,"2011-08-17","21:41:12"
"183",33.220359,-117.391681,"2011-08-17","21:41:13"
"184",33.220039,-117.391583,"2011-08-17","21:41:14"
"185",33.219718,-117.391479,"2011-08-17","21:41:15"
"186",33.21939,-117.391373,"2011-08-17","21:41:16"
"187",33.219056,-117.391273,"2011-08-17","21:41:17"
"188",33.218725,-117.39117,"2011-08-17","21:41:18"
"189",33.218393,-117.391062,"2011-08-17","21:41:19"
"190",33.218062,-117.39095,"2011-08-17","21:41:20"
"191",33.217726,-117.390839,"2011-08-17","21:41:21"
"192",33.217388,-117.390738,"2011-08-17","21:41:22"
"193",33.217048,-117.390635,"2011-08-17","21:41:23"
"194",33.216707,-117.390535,"2011-08-17","21:41:24"
"195",33.216359,-117.390429,"2011-08-17","21:41:25"
"196",33.216014,-117.390323,"2011-08-17","21:41:26"
"197",33.215666,-117.390223,"2011-08-17","21:41:27"
"198",33.215323,-117.390119,"2011-08-17","21:41:28"
"199",33.214985,-117.390008,"2011-08-17","21:41:29"
"200",33.214654,-117.389894,"2011-08-17","21:41:30"
"201",33.214329,-117.389768,"2011-08-17","21:41:31"
"202",33.214017,-117.389625,"2011-08-17","21:41:32"
"203",33.213707,-117.389467,"2011-08-17","21:41:33"
"204",33.213401,-117.389293,"2011-08-17","21:41:34"
"205",33.213102,-117.389107,"2011-08-17","21:41:35"
"206",33.212804,-117.388918,"2011-08-17","21:41:36"
"207",33.212501,-117.388733,"2011-08-17","21:41:37"
"208",33.212202,-117.388547,"2011-08-17","21:41:38"
"209",33.211901,-117.388356,"2011-08-17","21:41:39"
"210",33.2116,-117.388162,"2011-08-17","21:41:40"
"211",33.211298,-117.387971,"2011-08-17","21:41:41"
"212",33.210997,-117.387773,"2011-08-17","21:41:42"
"213",33.210694,-117.387572,"2011-08-17","21:41:43"
"214",33.210392,-117.387373,"2011-08-17","21:41:44"
"215",33.210086,-117.387173,"2011-08-17","21:41:45"
"216",33.209778,-117.386974,"2011-08-17","21:41:46"
"217",33.209464,-117.386778,"2011-08-17","21:41:47"
"218",33.209153,-117.386578,"2011-08-17","21:41:48"
"219",33.208839,-117.386379,"2011-08-17","21:41:49"
"220",33.208528,-117.38618,"2011-08-17","21:41:50"
"221",33.20822,-117.385986,"2011-08-17","21:41:51"
"222",33.207907,-117.38579,"2011-08-17","21:41:52"
"223",33.207591,-117.385603,"2011-08-17","21:41:53"
"224",33.207285,-117.385402,"2011-08-17","21:41:54"
"225",33.206979,-117.3852,"2011-08-17","21:41:55"
"226",33.206682,-117.384995,"2011-08-17","21:41:56"
"227",33.206385,-117.384794,"2011-08-17","21:41:57"
"228",33.206095,-117.384586,"2011-08-17","21:41:58"
"229",33.205814,-117.384367,"2011-08-17","21:41:59"
"230",33.20554,-117.384144,"2011-08-17","21:42:00"
"231",33.205279,-117.383903,"2011-08-17","21:42:01"
"232",33.20503,-117.383648,"2011-08-17","21:42:02"
"233",33.204792,-117.383391,"2011-08-17","21:42:03"
"234",33.204557,-117.383123,"2011-08-17","21:42:04"
"235",33.204332,-117.382847,"2011-08-17","21:42:05"
"236",33.204116,-117.382565,"2011-08-17","21:42:06"
"237",33.203925,-117.38226,"2011-08-17","21:42:07"
"238",33.203741,-117.381941,"2011-08-17","21:42:08"
"239",33.203559,-117.381624,"2011-08-17","21:42:09"
"240",33.203387,-117.381306,"2011-08-17","21:42:10"
"241",33.203225,-117.380978,"2011-08-17","21:42:11"
"242",33.203071,-117.380647,"2011-08-17","21:42:12"
"243",33.202937,-117.380313,"2011-08-17","21:42:13"
"244",33.202814,-117.379975,"2011-08-17","21:42:14"
"245",33.202701,-117.379629,"2011-08-17","21:42:15"
"246",33.202602,-117.379269,"2011-08-17","21:42:16"
"247",33.202491,-117.378914,"2011-08-17","21:42:17"
"248",33.202389,-117.378546,"2011-08-17","21:42:18"
"249",33.202275,-117.378182,"2011-08-17","21:42:19"
"250",33.202157,-117.37782,"2011-08-17","21:42:20"
"251",33.20204,-117.377453,"2011-08-17","21:42:21"
"252",33.201916,-117.377093,"2011-08-17","21:42:22"
"253",33.201793,-117.376728,"2011-08-17","21:42:23"
"254",33.201669,-117.376362,"2011-08-17","21:42:24"
"255",33.201551,-117.375998,"2011-08-17","21:42:25"
"256",33.201436,-117.375636,"2011-08-17","21:42:26"
"257",33.201318,-117.375276,"2011-08-17","21:42:27"
"258",33.201199,-117.374923,"2011-08-17","21:42:28"
"259",33.201078,-117.374575,"2011-08-17","21:42:29"
"260",33.200961,-117.374228,"2011-08-17","21:42:30"
"261",33.200844,-117.373891,"2011-08-17","21:42:31"
"262",33.200729,-117.373562,"2011-08-17","21:42:32"
"263",33.200623,-117.373241,"2011-08-17","21:42:33"
"264",33.200519,-117.372925,"2011-08-17","21:42:34"
"265",33.200411,-117.372619,"2011-08-17","21:42:35"
"266",33.200295,-117.372317,"2011-08-17","21:42:36"
"267",33.200172,-117.372017,"2011-08-17","21:42:37"
"268",33.20005,-117.371714,"2011-08-17","21:42:38"
"269",33.19991,-117.371416,"2011-08-17","21:42:39"
"270",33.199765,-117.371119,"2011-08-17","21:42:40"
"271",33.199614,-117.370827,"2011-08-17","21:42:41"
"272",33.199455,-117.370538,"2011-08-17","21:42:42"
"273",33.199296,-117.370251,"2011-08-17","21:42:43"
"274",33.199115,-117.369978,"2011-08-17","21:42:44"
"275",33.198915,-117.369726,"2011-08-17","21:42:45"
"276",33.198698,-117.369484,"2011-08-17","21:42:46"
"277",33.198475,-117.36925,"2011-08-17","21:42:47"
"278",33.198248,-117.369008,"2011-08-17","21:42:48"
"279",33.198008,-117.368779,"2011-08-17","21:42:49"
"280",33.197767,-117.368555,"2011-08-17","21:42:50"
"281",33.197515,-117.36834,"2011-08-17","21:42:51"
"282",33.197256,-117.368127,"2011-08-17","21:42:52"
"283",33.19699,-117.367916,"2011-08-17","21:42:53"
"284",33.196721,-117.367699,"2011-08-17","21:42:54"
"285",33.196448,-117.367477,"2011-08-17","21:42:55"
"286",33.196174,-117.36725,"2011-08-17","21:42:56"
"287",33.195896,-117.367016,"2011-08-17","21:42:57"
"288",33.195615,-117.366788,"2011-08-17","21:42:58"
"289",33.195339,-117.366563,"2011-08-17","21:42:59"
"290",33.195063,-117.366337,"2011-08-17","21:43:00"
"291",33.19479,-117.366115,"2011-08-17","21:43:01"
"292",33.194511,-117.365897,"2011-08-17","21:43:02"
"293",33.194243,-117.365676,"2011-08-17","21:43:03"
"294",33.193975,-117.365461,"2011-08-17","21:43:04"
"295",33.193711,-117.365246,"2011-08-17","21:43:05"
"296",33.193449,-117.365032,"2011-08-17","21:43:06"
"297",33.193186,-117.364819,"2011-08-17","21:43:07"
"298",33.192929,-117.364606,"2011-08-17","21:43:08"
"299",33.192667,-117.364397,"2011-08-17","21:43:09"
"300",33.19241,-117.364185,"2011-08-17","21:43:10"
"301",33.192149,-117.363973,"2011-08-17","21:43:11"
"302",33.19189,-117.36376,"2011-08-17","21:43:12"
"303",33.191631,-117.363547,"2011-08-17","21:43:13"
"304",33.191373,-117.363336,"2011-08-17","21:43:14"
"305",33.191113,-117.363118,"2011-08-17","21:43:15"
"306",33.190846,-117.362904,"2011-08-17","21:43:16"
"307",33.190584,-117.362688,"2011-08-17","21:43:17"
"308",33.190326,-117.362473,"2011-08-17","21:43:18"
"309",33.190068,-117.362261,"2011-08-17","21:43:19"
"310",33.189813,-117.36205,"2011-08-17","21:43:20"
"311",33.18956,-117.361841,"2011-08-17","21:43:21"
"312",33.189308,-117.361636,"2011-08-17","21:43:22"
"313",33.189063,-117.361431,"2011-08-17","21:43:23"
"314",33.188815,-117.36122,"2011-08-17","21:43:24"
"315",33.188574,-117.361015,"2011-08-17","21:43:25"
"316",33.188331,-117.36081,"2011-08-17","21:43:26"
"317",33.188086,-117.360604,"2011-08-17","21:43:27"
"318",33.187837,-117.360399,"2011-08-17","21:43:28"
"319",33.18759,-117.360194,"2011-08-17","21:43:29"
"320",33.187344,-117.35999,"2011-08-17","21:43:30"
"321",33.187098,-117.35978,"2011-08-17","21:43:31"
"322",33.186851,-117.359571,"2011-08-17","21:43:32"
"323",33.186596,-117.359366,"2011-08-17","21:43:33"
"324",33.186343,-117.359158,"2011-08-17","21:43:34"
"325",33.186091,-117.358949,"2011-08-17","21:43:35"
"326",33.185836,-117.358734,"2011-08-17","21:43:36"
"327",33.185579,-117.358523,"2011-08-17","21:43:37"
"328",33.185322,-117.358311,"2011-08-17","21:43:38"
"329",33.185067,-117.358098,"2011-08-17","21:43:39"
"330",33.184815,-117.357888,"2011-08-17","21:43:40"
"331",33.184562,-117.357681,"2011-08-17","21:43:41"
"332",33.184316,-117.35748,"2011-08-17","21:43:42"
"333",33.184082,-117.357282,"2011-08-17","21:43:43"
"334",33.183853,-117.357092,"2011-08-17","21:43:44"
"335",33.183624,-117.356915,"2011-08-17","21:43:45"
"336",33.183395,-117.356735,"2011-08-17","21:43:46"
"337",33.183163,-117.356553,"2011-08-17","21:43:47"
"338",33.182931,-117.356365,"2011-08-17","21:43:48"
"339",33.182694,-117.356175,"2011-08-17","21:43:49"
"340",33.182458,-117.355971,"2011-08-17","21:43:50"
"341",33.182216,-117.355762,"2011-08-17","21:43:51"
"342",33.181966,-117.35556,"2011-08-17","21:43:52"
"343",33.181712,-117.355348,"2011-08-17","21:43:53"
"344",33.181456,-117.355128,"2011-08-17","21:43:54"
"345",33.181192,-117.354909,"2011-08-17","21:43:55"
"346",33.180926,-117.354687,"2011-08-17","21:43:56"
"347",33.180655,-117.354464,"2011-08-17","21:43:57"
"348",33.180385,-117.354236,"2011-08-17","21:43:58"
"349",33.18011,-117.354005,"2011-08-17","21:43:59"
"350",33.17984,-117.353766,"2011-08-17","21:44:00"
"351",33.179563,-117.353531,"2011-08-17","21:44:01"
"352",33.17929,-117.353297,"2011-08-17","21:44:02"
"353",33.179016,-117.353066,"2011-08-17","21:44:03"
"354",33.178747,-117.352844,"2011-08-17","21:44:04"
"355",33.178484,-117.352626,"2011-08-17","21:44:05"
"356",33.17822,-117.352413,"2011-08-17","21:44:06"
"357",33.177961,-117.3522,"2011-08-17","21:44:07"
"358",33.177707,-117.351983,"2011-08-17","21:44:08"
"359",33.177452,-117.351777,"2011-08-17","21:44:09"
"360",33.177199,-117.351574,"2011-08-17","21:44:10"
"361",33.176944,-117.351365,"2011-08-17","21:44:11"
"362",33.176692,-117.351166,"2011-08-17","21:44:12"
"363",33.176444,-117.350968,"2011-08-17","21:44:13"
"364",33.176193,-117.350778,"2011-08-17","21:44:14"
"365",33.175943,-117.350589,"2011-08-17","21:44:15"
"366",33.1757,-117.350391,"2011-08-17","21:44:16"
"367",33.17545,-117.350206,"2011-08-17","21:44:17"
"368",33.175199,-117.350027,"2011-08-17","21:44:18"
"369",33.174951,-117.349846,"2011-08-17","21:44:19"
"370",33.174709,-117.349662,"2011-08-17","21:44:20"
"371",33.174463,-117.349483,"2011-08-17","21:44:21"
"372",33.17422,-117.349301,"2011-08-17","21:44:22"
"373",33.173984,-117.34912,"2011-08-17","21:44:23"
"374",33.173743,-117.348937,"2011-08-17","21:44:24"
"375",33.173507,-117.348752,"2011-08-17","21:44:25"
"376",33.173263,-117.348573,"2011-08-17","21:44:26"
"377",33.173019,-117.348393,"2011-08-17","21:44:27"
"378",33.172777,-117.34821,"2011-08-17","21:44:28"
"379",33.172532,-117.348022,"2011-08-17","21:44:29"
"380",33.172285,-117.34783,"2011-08-17","21:44:30"
"381",33.172039,-117.347635,"2011-08-17","21:44:31"
"382",33.171788,-117.347444,"2011-08-17","21:44:32"
"383",33.171532,-117.347254,"2011-08-17","21:44:33"
"384",33.171277,-117.347067,"2011-08-17","21:44:34"
"385",33.171022,-117.346875,"2011-08-17","21:44:35"
"386",33.170769,-117.346679,"2011-08-17","21:44:36"
"387",33.170514,-117.346485,"2011-08-17","21:44:37"
"388",33.170255,-117.34629,"2011-08-17","21:44:38"
"389",33.169995,-117.346098,"2011-08-17","21:44:39"
"390",33.169728,-117.345907,"2011-08-17","21:44:40"
"391",33.169461,-117.34571,"2011-08-17","21:44:41"
"392",33.169191,-117.345519,"2011-08-17","21:44:42"
"393",33.168913,-117.34533,"2011-08-17","21:44:43"
"394",33.16863,-117.345156,"2011-08-17","21:44:44"
"395",33.168342,-117.344987,"2011-08-17","21:44:45"
"396",33.168056,-117.344829,"2011-08-17","21:44:46"
"397",33.167772,-117.344674,"2011-08-17","21:44:47"
"398",33.167494,-117.34453,"2011-08-17","21:44:48"
"399",33.167217,-117.344387,"2011-08-17","21:44:49"
"400",33.16695,-117.34425,"2011-08-17","21:44:50"
"401",33.166685,-117.344117,"2011-08-17","21:44:51"
"402",33.166429,-117.343987,"2011-08-17","21:44:52"
"403",33.166188,-117.343867,"2011-08-17","21:44:53"
"404",33.165962,-117.343754,"2011-08-17","21:44:54"
"405",33.165749,-117.343645,"2011-08-17","21:44:55"
"406",33.165534,-117.343539,"2011-08-17","21:44:56"
"407",33.165322,-117.343431,"2011-08-17","21:44:57"
"408",33.165104,-117.343323,"2011-08-17","21:44:58"
"409",33.164885,-117.343209,"2011-08-17","21:44:59"
"410",33.164658,-117.343101,"2011-08-17","21:45:00"
"411",33.164431,-117.342982,"2011-08-17","21:45:01"
"412",33.164196,-117.342864,"2011-08-17","21:45:02"
"413",33.163959,-117.342742,"2011-08-17","21:45:03"
"414",33.163711,-117.342619,"2011-08-17","21:45:04"
"415",33.163461,-117.342494,"2011-08-17","21:45:05"
"416",33.163203,-117.342362,"2011-08-17","21:45:06"
"417",33.16294,-117.342228,"2011-08-17","21:45:07"
"418",33.162681,-117.342082,"2011-08-17","21:45:08"
"419",33.16241,-117.341942,"2011-08-17","21:45:09"
"420",33.162138,-117.341803,"2011-08-17","21:45:10"
"421",33.16186,-117.341662,"2011-08-17","21:45:11"
"422",33.161579,-117.341517,"2011-08-17","21:45:12"
"423",33.161294,-117.341373,"2011-08-17","21:45:13"
"424",33.161003,-117.341227,"2011-08-17","21:45:14"
"425",33.160709,-117.341082,"2011-08-17","21:45:15"
"426",33.160413,-117.340929,"2011-08-17","21:45:16"
"427",33.160116,-117.340775,"2011-08-17","21:45:17"
"428",33.159821,-117.340619,"2011-08-17","21:45:18"
"429",33.159523,-117.340474,"2011-08-17","21:45:19"
"430",33.159234,-117.34033,"2011-08-17","21:45:20"
"431",33.158947,-117.340184,"2011-08-17","21:45:21"
"432",33.158661,-117.340039,"2011-08-17","21:45:22"
"433",33.158377,-117.339894,"2011-08-17","21:45:23"
"434",33.158099,-117.339752,"2011-08-17","21:45:24"
"435",33.15782,-117.339612,"2011-08-17","21:45:25"
"436",33.157539,-117.339476,"2011-08-17","21:45:26"
"437",33.157255,-117.339335,"2011-08-17","21:45:27"
"438",33.156977,-117.339193,"2011-08-17","21:45:28"
"439",33.156695,-117.339053,"2011-08-17","21:45:29"
"440",33.156416,-117.338913,"2011-08-17","21:45:30"
"441",33.156141,-117.338771,"2011-08-17","21:45:31"
"442",33.155869,-117.338631,"2011-08-17","21:45:32"
"443",33.155597,-117.338491,"2011-08-17","21:45:33"
"444",33.155329,-117.338353,"2011-08-17","21:45:34"
"445",33.155063,-117.338208,"2011-08-17","21:45:35"
"446",33.154798,-117.338064,"2011-08-17","21:45:36"
"447",33.154536,-117.337918,"2011-08-17","21:45:37"
"448",33.154275,-117.337766,"2011-08-17","21:45:38"
"449",33.154017,-117.337616,"2011-08-17","21:45:39"
"450",33.153758,-117.337467,"2011-08-17","21:45:40"
"451",33.153504,-117.337318,"2011-08-17","21:45:41"
"452",33.153249,-117.337165,"2011-08-17","21:45:42"
"453",33.152993,-117.337018,"2011-08-17","21:45:43"
"454",33.15273,-117.336878,"2011-08-17","21:45:44"
"455",33.152471,-117.33673,"2011-08-17","21:45:45"
"456",33.152207,-117.336578,"2011-08-17","21:45:46"
"457",33.151941,-117.336426,"2011-08-17","21:45:47"
"458",33.15167,-117.33627,"2011-08-17","21:45:48"
"459",33.151395,-117.336112,"2011-08-17","21:45:49"
"460",33.151119,-117.335951,"2011-08-17","21:45:50"
"461",33.150832,-117.335791,"2011-08-17","21:45:51"
"462",33.15055,-117.335623,"2011-08-17","21:45:52"
"463",33.150268,-117.335458,"2011-08-17","21:45:53"
"464",33.149988,-117.335294,"2011-08-17","21:45:54"
"465",33.149709,-117.335129,"2011-08-17","21:45:55"
"466",33.149439,-117.334961,"2011-08-17","21:45:56"
"467",33.149163,-117.334807,"2011-08-17","21:45:57"
"468",33.148894,-117.334647,"2011-08-17","21:45:58"
"469",33.148621,-117.334496,"2011-08-17","21:45:59"
"470",33.148347,-117.334354,"2011-08-17","21:46:00"
"471",33.148073,-117.334222,"2011-08-17","21:46:01"
"472",33.147796,-117.334107,"2011-08-17","21:46:02"
"473",33.147517,-117.334005,"2011-08-17","21:46:03"
"474",33.147237,-117.33392,"2011-08-17","21:46:04"
"475",33.146957,-117.333855,"2011-08-17","21:46:05"
"476",33.146675,-117.333799,"2011-08-17","21:46:06"
"477",33.146397,-117.333766,"2011-08-17","21:46:07"
"478",33.146128,-117.333737,"2011-08-17","21:46:08"
"479",33.145881,-117.333718,"2011-08-17","21:46:09"
"480",33.145666,-117.333705,"2011-08-17","21:46:10"
"481",33.145477,-117.333703,"2011-08-17","21:46:11"
